epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,237.845,0.42174,0.28095,0.87401,1,0.9894,0.9948,0.92168,0.34764,0.22998,0.83911,0.000663049,0.000663049,0.000663049
75,241.131,0.44195,0.28838,0.90244,0.99867,0.9898,0.9948,0.93149,0.34319,0.21827,0.8325,0.000649297,0.000649297,0.000649297
76,244.373,0.4403,0.28974,0.89574,1,0.99868,0.995,0.9172,0.35883,0.23096,0.83741,0.000635544,0.000635544,0.000635544
77,247.787,0.42169,0.28537,0.89311,1,0.99878,0.995,0.92053,0.33074,0.21792,0.83328,0.000621791,0.000621791,0.000621791
78,251.014,0.44181,0.28149,0.88651,1,0.99876,0.995,0.92001,0.37643,0.23761,0.84786,0.000608038,0.000608038,0.000608038
79,254.201,0.43671,0.29406,0.89549,1,0.99871,0.995,0.92651,0.34952,0.22227,0.83568,0.000594286,0.000594286,0.000594286
80,257.473,0.40912,0.27807,0.88686,0.99916,0.9898,0.9947,0.9326,0.34465,0.21572,0.83433,0.000580533,0.000580533,0.000580533
81,260.705,0.42566,0.28365,0.88911,0.99875,0.9898,0.9949,0.9294,0.33624,0.21589,0.83117,0.00056678,0.00056678,0.00056678
82,263.92,0.42032,0.27641,0.88524,1,0.99889,0.995,0.93024,0.34903,0.22749,0.83658,0.000553027,0.000553027,0.000553027
83,267.11,0.43527,0.29258,0.87499,0.99854,0.9898,0.9949,0.9262,0.35655,0.23006,0.83797,0.000539275,0.000539275,0.000539275
84,270.481,0.42575,0.28282,0.89147,0.98989,0.99921,0.9949,0.9207,0.3478,0.22253,0.83078,0.000525522,0.000525522,0.000525522
85,273.669,0.41232,0.27602,0.88735,0.98988,0.99855,0.9949,0.9247,0.349,0.22003,0.8388,0.000511769,0.000511769,0.000511769
86,276.894,0.4362,0.29516,0.89153,0.99893,0.9898,0.9947,0.93313,0.33822,0.21777,0.83792,0.000498016,0.000498016,0.000498016
87,280.247,0.40644,0.27913,0.88817,0.98938,0.9898,0.99461,0.93701,0.34674,0.20894,0.8409,0.000484263,0.000484263,0.000484263
88,283.517,0.42015,0.27412,0.89997,0.98957,0.9898,0.99461,0.9396,0.32796,0.20477,0.83508,0.000470511,0.000470511,0.000470511
89,286.734,0.39742,0.26791,0.87819,0.99878,0.9898,0.9947,0.93995,0.3423,0.21025,0.83833,0.000456758,0.000456758,0.000456758
90,289.88,0.39098,0.26348,0.88814,0.98989,0.99887,0.9949,0.93471,0.32654,0.2071,0.8272,0.000443005,0.000443005,0.000443005
91,292.926,0.40032,0.2618,0.87955,0.99818,0.9898,0.9948,0.9403,0.33468,0.20794,0.82878,0.000429253,0.000429253,0.000429253
92,296.056,0.37437,0.25545,0.88073,0.99727,0.9898,0.9948,0.93991,0.33205,0.20408,0.82905,0.0004155,0.0004155,0.0004155
93,299.196,0.42378,0.27088,0.88903,0.99165,0.97959,0.99451,0.94065,0.31806,0.20426,0.8256,0.000401747,0.000401747,0.000401747
94,302.4,0.39536,0.27666,0.8871,1,0.97805,0.99451,0.93724,0.3177,0.20557,0.82956,0.000387994,0.000387994,0.000387994
95,305.63,0.38411,0.2485,0.87157,0.99848,0.9898,0.9947,0.93961,0.33794,0.2131,0.83375,0.000374242,0.000374242,0.000374242
96,309.09,0.38928,0.26367,0.86499,0.99757,0.9898,0.9948,0.94828,0.33003,0.20143,0.82897,0.000360489,0.000360489,0.000360489
