epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,221.735,0.45663,0.3114,0.89722,0.99491,0.96477,0.993,0.89355,0.35953,0.26377,0.86258,0.000577782,0.000577782,0.000577782
68,225.283,0.44316,0.30792,0.90377,0.98381,0.98084,0.98776,0.89853,0.33976,0.24388,0.86248,0.000561279,0.000561279,0.000561279
69,228.786,0.46525,0.31276,0.89525,0.98476,0.98305,0.99451,0.89783,0.38733,0.2649,0.88316,0.000544776,0.000544776,0.000544776
70,232.354,0.42434,0.29271,0.90179,0.99352,0.98305,0.99444,0.91057,0.31728,0.24224,0.85307,0.000528272,0.000528272,0.000528272
71,235.905,0.43685,0.29839,0.89578,0.97813,0.97458,0.98705,0.89783,0.34586,0.24328,0.85942,0.000511769,0.000511769,0.000511769
72,239.464,0.42658,0.29167,0.88258,0.97415,0.99153,0.9878,0.89556,0.31027,0.22988,0.84978,0.000495266,0.000495266,0.000495266
73,243.015,0.43498,0.29015,0.89684,0.98555,0.96563,0.98709,0.89804,0.34674,0.23435,0.85024,0.000478762,0.000478762,0.000478762
74,246.585,0.41782,0.29316,0.88148,0.98937,0.97458,0.99283,0.90502,0.329,0.22848,0.85185,0.000462259,0.000462259,0.000462259
75,250.053,0.43214,0.29814,0.88714,0.9947,0.97311,0.99325,0.90844,0.33844,0.23203,0.85326,0.000445756,0.000445756,0.000445756
76,253.545,0.41185,0.28247,0.86981,0.96618,0.99636,0.99385,0.91213,0.30576,0.21824,0.83978,0.000429253,0.000429253,0.000429253
77,257.079,0.40409,0.26516,0.87831,0.99004,0.9661,0.99257,0.91224,0.31507,0.21708,0.84533,0.000412749,0.000412749,0.000412749
78,260.571,0.42208,0.28004,0.89232,0.98431,0.9661,0.98653,0.90627,0.3317,0.22286,0.86207,0.000396246,0.000396246,0.000396246
79,264.08,0.411,0.27974,0.89327,0.98235,0.9661,0.98646,0.91328,0.33394,0.23166,0.84826,0.000379743,0.000379743,0.000379743
80,267.652,0.41298,0.27542,0.89,0.99433,0.97384,0.99228,0.91133,0.30951,0.21659,0.84322,0.000363239,0.000363239,0.000363239
81,271.151,0.42989,0.28001,0.89559,0.98539,0.95701,0.9864,0.9126,0.30389,0.22215,0.84872,0.000346736,0.000346736,0.000346736
82,274.649,0.3974,0.27147,0.88196,0.98254,0.98305,0.99318,0.91876,0.30624,0.22203,0.83897,0.000330233,0.000330233,0.000330233
83,278.225,0.41703,0.27585,0.89705,0.97367,0.99153,0.99296,0.91167,0.29953,0.22629,0.84,0.000313729,0.000313729,0.000313729
84,281.699,0.40081,0.26275,0.87892,0.99483,0.96282,0.993,0.91715,0.29629,0.21417,0.84169,0.000297226,0.000297226,0.000297226
85,285.081,0.393,0.27049,0.87389,0.97997,0.99153,0.99362,0.92264,0.29528,0.20874,0.8406,0.000280723,0.000280723,0.000280723
86,288.53,0.40468,0.26021,0.8784,0.97225,0.99153,0.99293,0.92254,0.29706,0.20908,0.84097,0.00026422,0.00026422,0.00026422
87,291.958,0.39997,0.2637,0.87917,0.98354,0.99153,0.99388,0.91443,0.2975,0.21348,0.84363,0.000247716,0.000247716,0.000247716
88,295.467,0.40182,0.26754,0.88431,0.98462,0.98224,0.98832,0.90943,0.28969,0.21458,0.84032,0.000231213,0.000231213,0.000231213
89,298.964,0.38701,0.25723,0.86152,0.97554,0.98155,0.98797,0.91423,0.30594,0.21516,0.84159,0.00021471,0.00021471,0.00021471
90,302.444,0.38128,0.25348,0.868,0.97529,0.99032,0.9939,0.91777,0.29801,0.20299,0.83938,0.000198206,0.000198206,0.000198206
91,317.846,0.35684,0.24707,0.83145,0.99097,0.99153,0.99421,0.91472,0.30761,0.21893,0.8462,0.000181703,0.000181703,0.000181703
92,321.448,0.34191,0.24313,0.84019,0.99245,0.98811,0.99454,0.91222,0.28986,0.21688,0.84397,0.0001652,0.0001652,0.0001652
93,324.836,0.34957,0.23663,0.82818,0.98256,0.99153,0.99434,0.91224,0.2944,0.2067,0.84763,0.000148696,0.000148696,0.000148696
94,328.527,0.34213,0.23307,0.8143,0.97274,0.99153,0.99375,0.9084,0.28966,0.19905,0.84457,0.000132193,0.000132193,0.000132193
95,331.894,0.34259,0.22897,0.82324,0.97499,0.99153,0.99367,0.90977,0.29163,0.19632,0.84289,0.00011569,0.00011569,0.00011569
96,335.283,0.3335,0.23007,0.82695,0.95894,0.98305,0.9867,0.91678,0.30375,0.20996,0.84391,9.91865e-05,9.91865e-05,9.91865e-05
97,338.855,0.32788,0.22036,0.82895,0.96681,0.98305,0.98722,0.91529,0.30182,0.20695,0.84418,8.26832e-05,8.26832e-05,8.26832e-05
98,342.018,0.32876,0.2172,0.8165,0.9828,0.99153,0.99434,0.91505,0.29389,0.20633,0.84295,6.61799e-05,6.61799e-05,6.61799e-05
99,345.419,0.3147,0.21376,0.81528,0.98478,0.99153,0.99459,0.91529,0.28569,0.19134,0.83934,4.96766e-05,4.96766e-05,4.96766e-05
100,349.202,0.32801,0.2247,0.83031,0.98616,0.99153,0.99461,0.9148,0.28119,0.18847,0.83699,3.31733e-05,3.31733e-05,3.31733e-05
